Category,Keyword,Typical Context
Urgency,Immediate action required,Subject line or opening
Urgency,Urgent: Your account will be closed,Subject line
Urgency,Final notice,Subject line
Urgency,Last warning,Subject line
Urgency,Act now to avoid suspension,Email body
Urgency,Response needed within 24 hours,Email body
Urgency,Deadline today,Subject line
Urgency,Action required: Confirm your details,Subject line
Urgency,Critical security alert,Subject line
Urgency,Your account has been restricted,Email body
Urgency,Unauthorized access detected,Subject line
Urgency,Suspicious activity on your account,Subject line
Urgency,Failure to respond will result in deletion,Email body
Urgency,Time sensitive request,Subject line
Urgency,Payment overdue,Subject line
Urgency,Legal action pending,Email body
Urgency,Court summons,Subject line
Urgency,Notice of debt,Subject line
Urgency,Emergency contact updated,Email body
Urgency,Account locked,Subject line
Urgency,Security breach notification,Subject line
Urgency,Verify now,Call to action
Urgency,Limited time offer,Email body
Urgency,Expiring soon,Email body
Urgency,Immediate update required,Subject line
Financial,You have a refund pending,Subject line
Financial,Invoice attached,Subject line
Financial,Payment processed successfully,Email body
Financial,Wire transfer confirmation,Subject line
Financial,Tax refund notification,Subject line
Financial,Your payroll has been delayed,Email body
Financial,Unclaimed funds,Email body
Financial,Beneficiary of a will,Email body
Financial,Grant approval notice,Subject line
Financial,Bank statement attached,Subject line
Financial,Credit card limit exceeded,Subject line
Financial,New transaction on your card,Email body
Financial,Confirm your billing address,Email body
Financial,Update payment method,Call to action
Financial,Subscription renewal,Subject line
Financial,Purchase confirmation for [Expensive Item],Subject line
Financial,Overdue invoice #12345,Subject line
Financial,Gift card reward,Subject line
Financial,Coupon code inside,Subject line
Financial,Investment opportunity,Email body
Financial,Crypto wallet recovery,Subject line
Financial,Bitcoin transaction pending,Email body
Financial,Inheritance claim,Email body
Financial,Loan approval,Subject line
Financial,Mortgage update,Subject line
Security/Account,Verify your identity,Call to action
Security/Account,Log in to confirm,Call to action
Security/Account,Reset your password,Subject line
Security/Account,Security questions changed,Email body
Security/Account,Email account verification,Subject line
Security/Account,New device logged in,Subject line
Security/Account,Location: Russia/China,Login details info
Security/Account,Confirm your email address,Email body
Security/Account,Two-factor authentication code,Subject line
Security/Account,Account recovery requested,Subject line
Security/Account,Update your profile,Email body
Security/Account,Privacy policy update,Subject line
Security/Account,Terms and conditions change,Subject line
Security/Account,IT Helpdesk: System upgrade,Subject line
Security/Account,Admin: Mailbox full,Subject line
Security/Account,Synchronize your folders,Email body
Security/Account,Re-validate your credentials,Email body
Security/Account,Access from unknown IP,Email body
Security/Account,Identity theft protection,Email body
Security/Account,Suspicious login attempt,Subject line
Security/Account,Secure your account,Call to action
Security/Account,Password policy change,Email body
Security/Account,Software update required,Subject line
Security/Account,Patch for security vulnerability,Email body
Security/Account,Official Microsoft/Google/Apple Support,Sender Name
Generic/Suspicious,Dear Customer,Salutation
Generic/Suspicious,Valued Client,Salutation
Generic/Suspicious,Click here,Link text
Generic/Suspicious,Follow this link,Link text
Generic/Suspicious,Download attachment,Call to action
Generic/Suspicious,Document scanned,Subject line
Generic/Suspicious,Internal memo,Subject line
Generic/Suspicious,Message for you,Subject line
Generic/Suspicious,Please see attached,Email body
Generic/Suspicious,You have (1) new message,Subject line
Generic/Suspicious,Voice mail notification,Subject line
Generic/Suspicious,Missed call alert,Subject line
Generic/Suspicious,Delivery failed,Subject line
Generic/Suspicious,Package tracking update,Subject line
Generic/Suspicious,UPS/FedEx/DHL delivery,Sender/Subject
Generic/Suspicious,Job offer details,Subject line
Generic/Suspicious,Work from home opportunity,Email body
Generic/Suspicious,Amazon order update,Subject line
Generic/Suspicious,Netflix billing error,Subject line
Generic/Suspicious,PayPal account limited,Subject line
Generic/Suspicious,Microsoft 365 update,Subject line
Generic/Suspicious,Zoom meeting invite,Subject line
